Category,Tag,VariableName,Description
Combat,Combat.State.Attacking,Combat_State_Attacking,攻击状态 - 角色正在进行攻击
Combat,Combat.Combo.ATK1,Combat_Combo_ATK1,连招第1段
Combat,Combat.Combo.ATK2,Combat_Combo_ATK2,连招第2段
Combat,Combat.Combo.ATK3,Combat_Combo_ATK3,连招第3段
Combat,Combat.State.Blocking,Combat_State_Blocking,格挡状态 - 角色正在格挡
Combat,Combat.State.Dodging,Combat_State_Dodging,闪避状态 - 角色正在闪避
Combat,Combat.Input.LightAttack,Combat_Input_LightAttack,输入标签 - 轻攻击
Combat,Combat.Input.HeavyAttack,Combat_Input_HeavyAttack,输入标签 - 重攻击
Ability,Ability.Weapon.Katana.LightAttack,Ability_Weapon_Katana_LightAttack,技能标签 - 太刀轻攻击连招
InitState,InitState.Spawned,InitState_Spawned,1: Actor/component has initially spawned and can be extended
InitState,InitState.DataAvailable,InitState_DataAvailable,2: All required data has been loaded/replicated and is ready for initialization
InitState,InitState.DataInitialized,InitState_DataInitialized,3: The available data has been initialized for this actor/component but not ready for full gameplay
InitState,InitState.GameplayReady,InitState_GameplayReady,4: The actor/component is fully ready for active gameplay
InputTag,InputTag.Move,InputTag_Move,Move input
InputTag,InputTag.Look.Mouse,InputTag_Look_Mouse,Look input with mouse
InputTag,InputTag.Jump,InputTag_Jump,Jump input
InputTag,InputTag.Test.CastStone,InputTag_Test_CastStone,ability cast stone
AttributeSet,AttributeSet.Health,AttributeSet_Health,Health attribute set identifier
AttributeSet,AttributeSet.Combat,AttributeSet_Combat,Combat attribute set identifier
Ability,Ability.ActivateFail.ActivationGroup,Ability_ActivateFail_ActivationGroup,Ability failed to activate due to activation group constraints
Ability,Ability.ActivateFail.IsDead,Ability_ActivateFail_IsDead,Ability failed to activate because the owner is dead
Ability,Ability.Attack.Light,Ability_Attack_Light,Light attack ability
Ability,Ability.Attack.Heavy,Ability_Attack_Heavy,Heavy attack ability
Ability,Ability.Dodge,Ability_Dodge,Dodge/roll ability
Ability,Ability.Block,Ability_Block,Block/parry ability
Ability,Ability.Test.CastStone,Ability_Test_CastStone,测试技能 扔个石头
Event,Event.Animation.DamageFrame,Event_Animation_DamageFrame,Damage frame - perform hit detection
Status,Status.Death,Status_Death,Target is dead
Status,Status.AutoRunning,Status_AutoRunning,Character is auto-running
Status,Status.Movement.Grounded,Status_Movement_Grounded,Character is on the ground
Status,Status.Movement.InAir,Status_Movement_InAir,Character is in the air (jumping/falling)
Status,Status.Movement.Jumping,Status_Movement_Jumping,Character has actively jumped (not falling)
Status,Status.Movement.Sprinting,Status_Movement_Sprinting,Character is sprinting
Status,Status.Movement.Crouching,Status_Movement_Crouching,Character is crouching
Status,Status.Action.Attacking,Status_Action_Attacking,Character is performing an attack
Status,Status.Action.Blocking,Status_Action_Blocking,Character is blocking
Status,Status.Action.Dodging,Status_Action_Dodging,Character is dodging/rolling
Status,Status.Action.Casting,Status_Action_Casting,Character is casting a spell
Status,Status.Condition.Stunned,Status_Condition_Stunned,Character is stunned - cannot move or act
Status,Status.Condition.Rooted,Status_Condition_Rooted,Character is rooted - cannot move but can act
Status,Status.Condition.Silenced,Status_Condition_Silenced,Character is silenced - cannot use abilities
Status,Status.Condition.Slowed,Status_Condition_Slowed,Character is slowed - reduced movement speed
Status,Status.Condition.Hasted,Status_Condition_Hasted,Character is hasted - increased movement speed
Status,Status.Immunity.Damage,Status_Immunity_Damage,Character will immunity damage
Status,Status.Immunity.Heal,Status_Immunity_Heal,Character will immunity healing effects
Status,Status.Debuff.GrievousWounds,Status_Debuff_GrievousWounds,Grievous Wounds - reduces healing received by 50%
Damage,Damage.Type.Physical,Damage_Type_Physical,Physical damage - reduced by Defense
Damage,Damage.Type.Magical,Damage_Type_Magical,Magical damage - reduced by MagicDefense
Damage,Damage.Type.True,Damage_Type_True,True damage - ignores all defenses
Damage,Damage.Element.Fire,Damage_Element_Fire,Fire elemental damage
Damage,Damage.Element.Ice,Damage_Element_Ice,Ice elemental damage
Damage,Damage.Element.Thunder,Damage_Element_Thunder,Thunder/Lightning elemental damage
Damage,Damage.Element.Water,Damage_Element_Water,Water elemental damage
Damage,Damage.Element.Wind,Damage_Element_Wind,Wind elemental damage
Damage,Damage.Element.Light,Damage_Element_Light,Light/Holy elemental damage
Damage,Damage.Element.Dark,Damage_Element_Dark,Dark/Shadow elemental damage
Weakness,Weakness.Element.Fire,Weakness_Element_Fire,Weak to Fire - takes +50% fire damage
Weakness,Weakness.Element.Ice,Weakness_Element_Ice,Weak to Ice - takes +50% ice damage
Weakness,Weakness.Element.Thunder,Weakness_Element_Thunder,Weak to Thunder - takes +50% thunder damage
Weakness,Weakness.Element.Water,Weakness_Element_Water,Weak to Water - takes +50% water damage
Weakness,Weakness.Element.Wind,Weakness_Element_Wind,Weak to Wind - takes +50% wind damage
Weakness,Weakness.Element.Light,Weakness_Element_Light,Weak to Light - takes +50% light damage
Weakness,Weakness.Element.Dark,Weakness_Element_Dark,Weak to Dark - takes +50% dark damage
GameplayCue,GameplayCue.Damage,GameplayCue_Damage,Generic damage feedback cue
GameplayCue,GameplayCue.Damage.Weakness,GameplayCue_Damage_Weakness,Weakness hit damage feedback cue (extra visual/audio)
GameplayCue,GameplayCue.Heal,GameplayCue_Heal,Heal feedback cue
Cheat,Cheat.GodMode,Cheat_GodMode,God mode - makes the player invincible
Cheat,Cheat.UnlimitedHealth,Cheat_UnlimitedHealth,Unlimited health - health cannot drop below 1
Cooldown,Cooldown.Skill.CastStone,Cooldown_Skill_CastStone,Caststone的CD
SetByCaller,SetByCaller.Damage.Raw,SetByCaller_Damage_Raw,Pre-calculated raw damage from ability
SetByCaller,SetByCaller.Damage.Type,SetByCaller_Damage_Type,Damage type: 0=Physical 1=Magical 2=True
SetByCaller,SetByCaller.Heal.Raw,SetByCaller_Heal_Raw,Pre-calculated raw healing from ability
InputTag,InputTag.Attack.Light,InputTag_Attack_Light,轻攻击
